Instance Name	Segment Store	Disk Space Utilization
hbkworld-prod-publish2northeurope	1.1G	5%
ampnz-prod3-publish1apsoutheast2	1.1G	5%
nagase-prod-75e-04-author1useast1	1.1G	
wmjordan-prod-author1eastus	1022M	3%
pictet-prod-publish1switzerlandnorth	1014M	4%
nagase-prod-75e-04-publish2useast1	1010M	32%
cityofsydney-prod-publish1australiaeast	1003M	4%
cityofsydney-prod-publish2australiaeast	993M	4%
securitymetrics-prod-publish1uswest2	987M	21%
ampnz-prod3-publish2apsoutheast2	970M	6%
ceat-prod1-author1apsouth1	968M	4%
sade-prod2-author1apsoutheast2	965M	13%
jal-prod-author1apsoutheast1	958M	6%
grace-prod-author1eastus	958M	3%
mcgladreyllp-prod1-publish2centralus	955M	12%
incommholding-prod-publish2eastus	954M	4%
wmata-prod1-publish1eastus	943M	4%
hangseng-prod1-author1southeastasia	925M	6%
godrejhf-prod-author1apsouth1	919M	5%
vedacitotto-prod-publish1brazilsouth	906M	5%
wisconsin-prod-publish1centralus	903M	4%
berlinairport-prod1-publish1eucentral1	901M	22%
ethiassa-prod2-publish1westeurope	900M	24%
hdsupply-prod1-author1eastus2	899M	2%
nearmap-prod1-author1uswest2	898M	4%
mcgladreyllp-prod1-publish1centralus	895M	20%
bcv-prod-publish1switzerlandnorth	864M	19%
momentive-prod-publish1eastus	863M	2%
ethiassa-prod2-publish2westeurope	821M	12%
hdsupply-prod1-publish1eastus2	799M	3%
canarahsbclife-prod-publish1apsouth1	787M	17%
alexforbes-prod1-author1southafricanorth	780M	3%
hdsupply-prod1-publish2eastus2	768M	3%
dkv-prod3-publish1eucentral1	758M	9%
economia-prod-publish2francecentral	747M	12%
upmanila-prod-publish1southeastasia	746M	3%
economia-prod-publish1francecentral	729M	13%
securitymetrics-prod-author1uswest2	718M	22%
pictet-prod-author1switzerlandnorth	706M	5%
alexforbes-prod1-publish2southafricanorth	695M	11%
kotak-prod-publish2centralindia	668M	2%
kotak-prod-publish1centralindia	658M	2%
gga-prod1-publish1uswest2	654M	29%
movement-prod-author1eastus2	643M	14%
bolsademf-prod-author1brazilsouth	639M	14%
bigfishgames-prod2-publish1uswest2	630M	18%
latrobe-prod2-publish1australiasoutheast	628M	6%
necco-prod-author1eastus	593M	10%
riverbedit-prod1-publish2uswest1	569M	18%
riverbedit-prod1-publish1uswest1	567M	19%
cao-prod-author1canadacentral	543M	7%
godrejhf-prod-publish1apsouth1	524M	4%
sjab-prod-author1westeurope	463M	2%
magnetimarelli-prod1-publish1eucentral1	441M	14%
cityofdal-prod4-publish1southcentralus	429M	3%
canarahsbclife-prod-author1apsouth1	416M	7%
movement-prod-publish1eastus2	408M	41%
movement-prod-publish2eastus2	394M	36%
upmanila-prod-author1southeastasia	393M	4%
wisconsin-prod-author1centralus	375M	4%
beckshybrids-prod-author1centralus	370M	5%
hsbciom-prod1-author1euwest2	357M	12%
dmv-prod-author1westus	357M	4%
cityofsydney-prod-author1australiaeast	356M	4%
wmata-prod1-author1eastus	344M	4%
bluenileinc-prod1-author1uswest2	343M	3%
cityofdal-prod4-author1southcentralus	342M	3%
momentive-prod-author1eastus	326M	2%
dlh-prod2-author1westeurope	325M	2%
kotak-prod-author1centralindia	297M	1%
altec-prod-publish1useast1	237M	5%
